id_objects;name_type_object;name_objects;address;location;created_by;osm_id
240;Кафе;Кофе Варим;;0101000020E6100000C16966D24B024C406DF0749DFC624B40;1;10816149830
241;Кафе;Филадельфия;;0101000020E6100000EA0203AD65004C4092BA53F0CA604B40;1;10836869051
242;Кафе;Кофе Варим;;0101000020E61000005859DB148F024C409C4DEC46C4624B40;1;10852502030
243;Кафе;Дом башкирской кухни;;0101000020E6100000A982F68F2A004C4069F926F2C95F4B40;1;10974340477
244;Кафе;Мадина;;0101000020E6100000F4401A040C004C40D10FD9F62C604B40;1;11069752420
245;Кафе;Lilove;;0101000020E61000008E2A792B01004C40078DAA7015604B40;1;11069752421
246;Кафе;Халяль;;0101000020E61000008FD838ACBA004C40B10CBB39A6604B40;1;11069752429
247;Кафе;Мама варит кофе;;0101000020E61000002DC4341D4B024C40D2C6116BF1614B40;1;11118735654
248;Кафе;Пышка;;0101000020E61000006395777A4A044C404881AA76F2614B40;1;11257028021
249;Кафе;Пельмеша;;0101000020E6100000FC02D59A41034C40593332C85D624B40;1;11259827788
250;Кафе;Cafe for friends;;0101000020E6100000BD7ACB8B02004C40AE7DA603FE5F4B40;1;11341313678
251;Кафе;La Baguette;;0101000020E61000002BAD7598E5034C406EDE3829CC604B40;1;11494288830
252;Кафе;Между строк;;0101000020E6100000A5F21BCB60014C40AFACD96F92614B40;1;11655942036
253;Кафе;Свояк;;0101000020E61000007C65DEAAEB024C404B901150E1604B40;1;11747572243
254;Кафе;Актау;;0101000020E6100000BCAFCA85CA034C40B267CF656A624B40;1;11747572249
255;Кафе;Monkey Grinder;;0101000020E6100000857D3B8908014C4039DCFDE032614B40;1;11817903446
256;Кафе;Sabr;;0101000020E6100000498E2A792B034C405E62D119BD604B40;1;12142052657
257;Кафе;Варим Кофе;;0101000020E6100000C10C7CFB29034C4085DB9035D9624B40;1;12184263399
258;Кафе;Дон Кофеоне;;0101000020E6100000226129DC3C034C40295316CFEA624B40;1;12184343401
259;Кафе;Buffet;;0101000020E6100000F0236D99C2044C40AF38E686F0604B40;1;12298889910
